titulo,precio,ambientes,lat,lng
Depto luminoso en Palermo Hollywood,180000,2,-34.5815,-58.4332
PH Reciclado con Terraza en Belgrano,320000,4,-34.5621,-58.4564
Piso exclusivo vista al río Puerto Madero,450000,3,-34.6118,-58.3619
Monoambiente ideal estudiantes Recoleta,95000,1,-34.5891,-58.3975
Departamento 3 amb Caballito Centro,145000,3,-34.6202,-58.4443
Semipiso en Almagro límite Palermo,135000,3,-34.6023,-58.4215
Duplex moderno en Nuñez,280000,4,-34.5451,-58.4632
Casa 5 ambientes Villa Urquiza,390000,5,-34.5732,-58.4815
Depto 2 amb Parque Centenario,115000,2,-34.6074,-58.4352
Loft en San Telmo histórico,125000,1,-34.6189,-58.3721
Estudio profesional Tribunales,80000,1,-34.6012,-58.3855
Piso señorial en Retiro,420000,5,-34.5911,-58.3776
Depto a estrenar en Colegiales,195000,3,-34.5765,-58.4489
PH sin expensas Villa Crespo,155000,3,-34.5932,-58.4398
Torre premium en Palermo Soho,380000,4,-34.5867,-58.4243
Departamento 2 amb Flores Centro,90000,2,-34.6315,-58.4651
Triplex con pileta en Coghlan,410000,4,-34.5582,-58.4721
Depto frente a Barrancas de Belgrano,290000,3,-34.5567,-58.4498
Unidad 3 amb Boedo con balcón,110000,3,-34.6251,-58.4155
Semipiso Barrio Norte luminoso,210000,3,-34.5925,-58.4021
Monoambiente amplio Villa Luro,75000,1,-34.6358,-58.5021
Depto 4 amb Villa Devoto zona residencial,310000,4,-34.5982,-58.5113
Duplex en Saavedra cerca del parque,230000,3,-34.5512,-58.4822
Departamento 2 amb Chacarita,128000,2,-34.5855,-58.4521
Casa con jardín en Mataderos,240000,4,-34.6582,-58.4965
